,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemperature,WindSpeed
200,tuatapere,75.0,NZ,2019-06-30 21:06:59,75.0,-46.13,167.69,7.22,0.45
201,nouadhibou,0.0,MR,2019-06-30 21:06:59,73.0,20.93,-17.03,21.0,9.3
202,bahia blanca,38.0,AR,2019-06-30 21:06:59,53.0,-38.72,-62.27,6.65,4.67
203,yokadouma,13.0,CM,2019-06-30 21:06:59,98.0,3.52,15.05,21.05,1.29
204,chokurdakh,98.0,RU,2019-06-30 21:07:00,57.0,70.62,147.9,7.45,3.9
205,lucapa,25.0,AO,2019-06-30 21:07:00,32.0,-8.42,20.74,20.05,1.58
206,santa maria,40.0,BR,2019-06-30 21:07:00,41.0,-16.02,-48.01,26.0,3.1
207,paamiut,0.0,GL,2019-06-30 21:07:00,84.0,61.99,-49.67,3.05,6.56
208,usinsk,100.0,RU,2019-06-30 21:07:00,82.0,66.0,57.56,13.85,5.29
209,shimoda,90.0,JP,2019-06-30 21:07:01,100.0,34.7,138.93,25.56,1.5
210,sitka,0.0,US,2019-06-30 21:07:01,47.0,37.17,-99.65,32.78,6.26
211,marawi,100.0,PH,2019-06-30 21:07:01,88.0,8.0,124.29,24.44,2.24
212,honiara,75.0,SB,2019-06-30 21:07:01,100.0,-9.43,159.96,24.0,2.1
213,zhigansk,75.0,RU,2019-06-30 21:07:01,48.0,66.77,123.37,18.25,2.16
215,tuktoyaktuk,75.0,CA,2019-06-30 21:07:02,75.0,69.44,-133.03,6.0,4.6
216,sao joao do paraiso,80.0,BR,2019-06-30 21:07:02,74.0,-15.31,-42.01,18.45,1.38
217,muli,28.0,CN,2019-06-30 21:07:02,77.0,28.08,109.56,20.15,1.27
218,longyearbyen,75.0,NO,2019-06-30 21:07:02,59.0,78.22,15.63,5.0,9.8
219,siuna,100.0,NI,2019-06-30 21:07:03,91.0,13.73,-84.78,25.25,2.0
220,nikolayevka,28.0,RU,2019-06-30 21:07:03,52.0,46.73,38.57,21.05,6.29
221,mamou,100.0,GN,2019-06-30 21:07:03,94.0,10.37,-12.08,22.25,1.23
222,obo,100.0,CF,2019-06-30 21:07:03,95.0,5.39,26.49,21.35,1.82
223,skibbereen,40.0,IE,2019-06-30 21:07:03,67.0,51.55,-9.27,14.0,5.7
224,west des moines,20.0,US,2019-06-30 21:07:04,56.0,41.56,-93.76,34.44,4.6
225,tabou,43.0,CI,2019-06-30 21:07:04,95.0,4.42,-7.36,23.35,1.94
226,paracuru,75.0,BR,2019-06-30 21:07:04,74.0,-3.41,-39.03,28.0,9.3
227,matara,14.0,BI,2019-06-30 21:07:04,87.0,-3.48,29.48,10.65,0.45
228,dunedin,100.0,NZ,2019-06-30 21:07:04,63.0,-45.87,170.5,7.78,1.34
229,san rafael del sur,40.0,NI,2019-06-30 21:07:05,59.0,11.85,-86.44,33.0,8.2
230,kishi,22.0,NG,2019-06-30 21:07:05,89.0,9.08,3.85,23.65,2.57
231,mapiripan,99.0,CO,2019-06-30 21:07:05,94.0,2.89,-72.13,23.65,2.79
232,bani,67.0,YE,2019-06-30 21:07:05,75.0,16.02,42.93,31.75,2.8
233,taywarah,0.0,AF,2019-06-30 21:07:06,25.0,33.35,64.42,16.45,2.96
235,pimentel,19.0,BR,2019-06-30 21:07:06,83.0,-3.7,-45.5,25.55,1.32
236,gorom-gorom,6.0,BF,2019-06-30 21:07:06,26.0,14.45,-0.24,36.75,3.06
237,skjervoy,0.0,NO,2019-06-30 21:07:06,75.0,70.03,20.97,8.0,3.6
238,maumere,38.0,ID,2019-06-30 21:07:06,68.0,-8.63,122.22,23.55,2.37
239,lundazi,0.0,ZM,2019-06-30 21:07:07,78.0,-12.29,33.17,14.75,3.39
240,karratha,97.0,AU,2019-06-30 21:04:55,30.0,-20.74,116.85,18.15,3.41
241,gat,38.0,SN,2019-06-30 21:07:07,83.0,14.69,-16.54,26.0,4.1
242,valleyview,100.0,CA,2019-06-30 21:07:07,53.0,55.07,-117.28,20.05,2.23
243,igarka,96.0,RU,2019-06-30 21:07:07,65.0,67.47,86.57,12.25,4.38
244,rapid valley,90.0,US,2019-06-30 21:07:08,60.0,44.06,-103.15,24.0,4.1
245,dong xoai,100.0,VN,2019-06-30 21:07:08,94.0,11.53,106.92,24.55,2.37
246,mogosesti,0.0,RO,2019-06-30 21:07:08,60.0,47.03,27.53,22.22,2.1
247,okha,11.0,RU,2019-06-30 21:07:08,83.0,53.59,142.95,9.15,5.67
248,lavrentiya,89.0,RU,2019-06-30 21:07:08,68.0,65.58,-170.99,9.45,6.12
249,nemuro,0.0,JP,2019-06-30 21:07:09,91.0,43.32,145.57,10.25,3.23
251,port lincoln,100.0,AU,2019-06-30 21:05:31,69.0,-34.72,135.86,14.85,11.48
252,ponnani,75.0,IN,2019-06-30 21:07:09,83.0,10.77,75.93,30.0,1.0
253,college,75.0,US,2019-06-30 21:07:09,50.0,64.86,-147.8,26.0,2.6
254,eyl,30.0,SO,2019-06-30 21:07:09,55.0,7.98,49.82,27.75,11.01
255,shinpokh,1.0,PK,2019-06-30 21:07:10,32.0,34.33,71.18,29.0,0.5
256,senanga,0.0,ZM,2019-06-30 21:07:10,35.0,-16.1,23.3,12.35,0.63
257,kandrian,99.0,PG,2019-06-30 21:07:10,94.0,-6.21,149.55,23.35,2.82
259,bistra,4.0,BG,2019-06-30 21:07:10,56.0,43.84,27.37,23.33,3.68
260,khash,0.0,IR,2019-06-30 21:07:11,17.0,28.22,61.21,24.45,3.01
261,hay river,90.0,CA,2019-06-30 21:07:11,62.0,60.82,-115.79,12.0,5.7
262,boueni,0.0,YT,2019-06-30 21:07:11,94.0,-12.9,45.08,24.0,1.5
263,vila velha,75.0,BR,2019-06-30 21:07:11,74.0,-3.71,-38.6,28.0,9.3
264,touros,75.0,BR,2019-06-30 21:07:11,94.0,-5.2,-35.46,25.0,2.6
265,tilichiki,100.0,RU,2019-06-30 21:07:12,92.0,60.47,166.1,9.25,2.19
266,mpwapwa,0.0,TZ,2019-06-30 21:07:12,78.0,-6.35,36.49,16.75,1.57
267,coahuayana,8.0,MX,2019-06-30 21:07:12,51.0,18.62,-100.35,31.75,0.67
268,beloha,0.0,MG,2019-06-30 21:07:12,73.0,-25.17,45.06,22.05,2.86
269,yulara,60.0,AU,2019-06-30 21:07:13,52.0,-25.24,130.99,5.0,3.1
271,grande prairie,75.0,CA,2019-06-30 21:04:08,60.0,55.17,-118.79,22.0,4.1
272,jilove,0.0,CZ,2019-06-30 21:05:47,28.0,50.76,14.1,29.0,2.1
273,adrar,23.0,DZ,2019-06-30 21:07:13,12.0,27.87,-0.29,36.95,4.31
274,kenai,1.0,US,2019-06-30 21:07:13,68.0,60.55,-151.26,23.33,6.2
275,dillon,1.0,US,2019-06-30 21:04:19,33.0,45.22,-112.64,26.11,4.1
276,nsanje,0.0,MZ,2019-06-30 21:07:14,82.0,-16.92,35.26,20.15,3.23
277,berdigestyakh,0.0,RU,2019-06-30 21:07:14,53.0,62.1,126.7,14.65,2.69
279,esperance,75.0,AU,2019-06-30 21:05:45,93.0,-33.86,121.89,10.0,5.1
